PlatformID,PlatformName,Characteristics
1,Temp,""
2,Gembucket,""
3,Zoolab,""
4,Quo Lux,""
5,Opela,""
6,Cookley,""
7,Latlux,""
8,Temp,""
9,Tin,""
10,Sonsing,""
11,Lotlux,""
12,Andalax,""
13,Latlux,""
14,Hatity,""
15,Sonsing,""
16,Lotlux,""
17,Treeflex,""
18,Lotstring,""
19,Zamit,""
20,Tin,""
21,Namfix,""
22,Hatity,""
23,Ventosanzap,""
24,Zathin,""
25,Fintone,""
26,Y-find,""
27,Hatity,""
28,Namfix,""
29,Viva,""
30,Veribet,""
31,Stim,""
32,Y-find,""
33,Ronstring,""
34,Job,""
35,Biodex,""
36,Ventosanzap,""
37,Toughjoyfax,""
38,Flexidy,""
39,Fintone,""
40,Home Ing,""
41,Cardguard,""
42,Kanlam,""
43,Alpha,""
44,Wrapsafe,""
45,Toughjoyfax,""
46,Alphazap,""
47,Treeflex,""
48,Ventosanzap,""
49,Greenlam,""
50,Temp,""
